,Mean 0Suburb: Remote and Desolate,Mean 1Suburb: Small Town Settlement,Mean 2Outskirt: Influx of New Residents,Mean 3City Center,Mean 4Close to Downtown: Convenient Transportation,"Mean 5Outskirt: High Population Density, Old Town",Mean 6Downtown: New Taipei City,Std 0Suburb: Remote and Desolate,Std 1Suburb: Small Town Settlement,Std 2Outskirt: Influx of New Residents,Std 3City Center,Std 4Close to Downtown: Convenient Transportation,"Std 5Outskirt: High Population Density, Old Town",Std 6Downtown: New Taipei City
Green,0.9493670886075949,0.8826666666666667,0.23484848484848486,0.0,0.993993993993994,0.18,0.40476190476190477,0.2197109528688905,0.32224701279438134,0.4255189644206901,0.0,0.0773816233124498,0.3854745179993688,0.49280538030458093
Area,0.006291492514767936,0.003076388666666667,0.00047420163409090906,0.0007779979999999995,0.002100955072072073,0.000490810732,0.0007186038563492061,0.003539809729219007,0.0029590830018259083,0.00044752503707308657,0.00043530809065498257,0.0019504056529166332,0.000287456838233948,0.0006837425110917366
Metro in 300m,0.008438818565400843,0.0,0.5454545454545454,0.8074074074074075,0.8678678678678678,0.22666666666666666,0.3968253968253968,0.09166821073641193,0.0,0.49982647925904683,0.39580441982207715,0.3391439710372606,0.42007775992640595,0.49119226507533886
Multi Metro in 300m,0.0,0.0,0.0,0.037037037037037035,0.042042042042042045,0.0,0.07142857142857142,0.0,0.0,0.0,0.18955593855614694,0.2009871078060755,0.0,0.25856748221140047
Metro in 500m,0.0379746835443038,0.072,0.8181818181818182,1.0,1.0,0.5866666666666667,0.6349206349206349,0.19153956806890413,0.25883325212657093,0.3871639260327547,0.0,0.0,0.4940813000875431,0.483374382493315
Multi Metro in 500m,0.0,0.0026666666666666666,0.19696969696969696,0.37037037037037035,0.4174174174174174,0.04,0.23015873015873015,0.0,0.051639777949431837,0.39922432308593003,0.48470241279189047,0.4938750725498129,0.19661566092456936,0.4226146881062872
Primary School,0.4345991561181435,0.9493333333333334,0.0,0.9407407407407408,0.9309309309309309,0.9733333333333334,0.047619047619047616,0.4967533871312844,0.21960911637013092,0.0,0.23698866283617914,0.25395315128271245,0.1616470040396321,0.2138089935299397
High School,0.10970464135021098,0.7573333333333333,0.6060606060606061,0.8296296296296296,0.6846846846846847,0.7266666666666667,0.6587301587301587,0.3131826734828929,0.429267917205016,0.49048310438605236,0.3773580733646011,0.4653405667335125,0.4471635688097735,0.4760285438954004
Gym,0.02109704641350211,0.10133333333333333,0.09848484848484848,0.25925925925925924,0.2132132132132132,0.21333333333333335,0.11904761904761904,0.1440120458699416,0.3021727616722152,0.29910422204733556,0.4398602723009903,0.4101933934936653,0.4110335094141321,0.3251373336211729
Fire station,0.09282700421940929,0.8506666666666667,0.022727272727272728,0.9703703703703703,0.7087087087087087,0.05333333333333334,0.8333333333333334,0.29080401335424627,0.3568929097356916,0.14960043938525372,0.17019482868920632,0.45504118953224176,0.22545008425851168,0.37416573867739467
Police station,0.759493670886076,0.9946666666666667,0.9924242424242424,1.0,0.990990990990991,0.9933333333333333,0.8253968253968254,0.4282954945830168,0.07293197572929866,0.08703882797784891,0.0,0.09462947675222799,0.08164965809277239,0.3811428095476044
Shelter,0.02261799628270042,0.034604651186666655,0.0010570824545454549,0.2111398220296296,0.16089345167567573,0.011602067193333333,0.0024916943571428574,0.08038591360957194,0.08864007002702583,0.002398931479161428,0.1622635646809857,0.15073999975574678,0.0506470543857611,0.015265329873874259
Count,237.0,375.0,132.0,135.0,333.0,150.0,126.0,237.0,375.0,132.0,135.0,333.0,150.0,126.0
QoL_Score_rank,1.0,5.0,2.0,6.0,7.0,3.0,4.0,,,,,,,
Marital status_rank,1.0,3.0,2.0,6.0,7.0,5.0,4.0,,,,,,,
Population Density_rank,1.0,2.0,5.0,4.0,3.0,7.0,6.0,,,,,,,
Natural Increase_rank,1.0,6.0,2.0,4.0,7.0,3.0,5.0,,,,,,,
Social Increase_rank,6.0,4.0,7.0,1.0,2.0,3.0,5.0,,,,,,,
Housing Price_rank,1.0,2.0,3.0,7.0,6.0,5.0,4.0,,,,,,,
Income_rank,1.0,3.0,2.0,6.0,7.0,5.0,4.0,,,,,,,
edu1_rank,1.0,3.0,2.0,6.0,7.0,5.0,4.0,,,,,,,
edu2_rank,3.0,7.0,6.0,1.0,2.0,4.0,5.0,,,,,,,
NO2_rank,6.0,1.0,4.0,5.0,2.0,3.0,7.0,,,,,,,
PM2.5_rank,6.0,5.0,1.0,3.0,7.0,4.0,2.0,,,,,,,
Hospital_rank,1.0,2.0,3.0,7.0,6.0,4.0,5.0,,,,,,,
Water_rank,5.0,7.0,1.0,4.0,6.0,2.0,3.0,,,,,,,
Green_rank,6.0,5.0,3.0,1.0,7.0,2.0,4.0,,,,,,,
Area_rank,7.0,6.0,1.0,4.0,5.0,2.0,3.0,,,,,,,
Metro in 300m_rank,2.0,1.0,5.0,6.0,7.0,3.0,4.0,,,,,,,
Multi Metro in 300m_rank,2.5,2.5,2.5,5.0,6.0,2.5,7.0,,,,,,,
Metro in 500m_rank,1.0,2.0,5.0,6.5,6.5,3.0,4.0,,,,,,,
Multi Metro in 500m_rank,1.0,2.0,4.0,6.0,7.0,3.0,5.0,,,,,,,
Primary School_rank,3.0,6.0,1.0,5.0,4.0,7.0,2.0,,,,,,,
High School_rank,1.0,6.0,2.0,7.0,4.0,5.0,3.0,,,,,,,
Gym_rank,1.0,3.0,2.0,7.0,5.0,6.0,4.0,,,,,,,
Fire station_rank,3.0,6.0,1.0,7.0,4.0,2.0,5.0,,,,,,,
Police station_rank,1.0,6.0,4.0,7.0,3.0,5.0,2.0,,,,,,,
Shelter_rank,4.0,5.0,1.0,7.0,6.0,3.0,2.0,,,,,,,
Count_rank,5.0,7.0,2.0,3.0,6.0,4.0,1.0,,,,,,,
