105|V_ID,105|QoL,105|QoL__4,105|QoL__5,105|c_,105|c__4,105|c__5,105|j_,105|j__4,105|j__5,105|ht_,105|ht__4,105|ht__5,105|s_,105|s__4,105|s__5,105|cs_,105|cs__4,105|cs__5,105|e_,105|h_,105|h__4,105|h__5,106|QoL,106|QoL__4,106|QoL__5,106|c_,106|c__4,106|c__5,106|j_,106|j__4,106|j__5,106|ht_,106|ht__4,106|ht__5,106|s_,106|s__4,106|s__5,106|cs_,106|cs__4,106|cs__5,106|e_,106|h_,106|h__4,106|h__5,107|QoL,107|QoL__4,107|QoL__5,107|c_,107|c__4,107|c__5,107|j_,107|j__4,107|j__5,107|ht_,107|ht__4,107|ht__5,107|s_,107|s__4,107|s__5,107|cs_,107|cs__4,107|cs__5,107|e_,107|h_,107|h__4,107|h__5,108|QoL,108|QoL__4,108|QoL__5,108|c_,108|c__4,108|c__5,108|j_,108|j__4,108|j__5,108|ht_,108|ht__4,108|ht__5,108|s_,108|s__4,108|s__5,108|cs_,108|cs__4,108|cs__5,108|e_,108|h_,108|h__4,108|h__5,109|QoL,109|QoL__4,109|QoL__5,109|c_,109|c__4,109|c__5,109|j_,109|j__4,109|j__5,109|ht_,109|ht__4,109|ht__5,109|s_,109|s__4,109|s__5,109|cs_,109|cs__4,109|cs__5,109|e_,109|h_,109|h__4,109|h__5
65000090-024,1.9485644826644624,2,2,0.45423373684264323,4,5,-1.9440886547264902,1,1,-1.086188480421507,1,1,2.003875968992248,3,4,2.0,2,2,1.0,-0.4792680880224321,4,5,2.902478293531517,3.0,3.0,0.42755019368142266,4.0,4.0,-1.7680006782247562,1.0,1.0,-0.3928571428571428,3.0,4.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.3680900480602539,4.0,5.0,2.151665845811898,2.0,2.0,-0.04523241206119012,2.0,2.0,-1.8449901247629412,1.0,1.0,-0.508631612290149,3.0,4.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.4533559740660697,4.0,5.0,2.3663724522869196,2.0,3.0,-0.09423558685566148,1.0,2.0,-1.8333852736274296,1.0,1.0,-0.168093185550082,4.0,5.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.5417894706721552,4.0,5.0,2.2454441474019884,2.0,2.0,-0.10680615620634337,1.0,2.0,-1.8064420806476729,1.0,1.0,-0.3615852232873509,3.0,4.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.483598361448892,4.0,5.0
65000090-005,1.3037227811763297,1,2,0.6854964282230862,4,5,-0.3306027928885323,3,4,-1.5719027661357923,1,1,1.0,1,1,1.0,1,1,1.0,-0.4792680880224321,4,5,2.3995782727793307,2.0,3.0,0.6586153949121247,4.0,5.0,-0.08737564550111193,4.0,4.0,-0.8035714285714285,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,1.7204105417181559,2.0,2.0,0.3143183430889865,3.0,4.0,-0.2990884126706147,3.0,4.0,-0.8414634146341463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,1.9421375360680226,2.0,2.0,0.34736012847775,3.0,4.0,-0.29504231713987145,3.0,4.0,-0.568390804597701,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,1.9685904553881644,2.0,2.0,0.4106229504761072,4.0,4.0,-0.28849414455012534,3.0,4.0,-0.6699399890889253,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-020,1.8163601478869738,2,2,0.6542391482948806,4,5,-0.19058411524193059,3,4,-1.1719027661357924,1,1,1.003875968992248,2,2,1.0,1,1,1.0,-0.4792680880224321,4,5,2.632678212801809,2.0,3.0,0.6761341911989016,4.0,5.0,-0.000670470757658248,4.0,5.0,-0.6785714285714285,2.0,3.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,1.7978863075202007,2.0,2.0,0.3036578733925945,3.0,4.0,-0.2181540885147582,3.0,4.0,-0.8381374722838137,1.0,2.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,2.228232251904284,2.0,2.0,0.34707161285890553,3.0,4.0,-0.2070752845620707,3.0,4.0,-0.3738505747126436,3.0,4.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,2.0018994873651974,2.0,2.0,0.3984371232433169,4.0,4.0,-0.20977760021361952,3.0,4.0,-0.707037643207856,2.0,2.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-015,1.3752084488841725,1,2,0.6052652770215537,4,5,-0.38276194297140476,3,3,-1.3719027661357925,1,1,1.003875968992248,2,2,1.0,1,1,1.0,-0.4792680880224321,4,5,2.2389033239251765,2.0,2.0,0.5927462977213556,4.0,5.0,-0.18605746615674418,3.0,4.0,-0.8035714285714285,1.0,2.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,1.6250715187130396,2.0,2.0,0.24345646474801458,3.0,3.0,-0.37289607178155254,3.0,3.0,-0.7960088691796009,2.0,2.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,1.9979044084989785,2.0,2.0,0.339875377995098,3.0,4.0,-0.4196465482759827,3.0,3.0,-0.38441091954022977,3.0,4.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,1.797855180131236,2.0,2.0,0.3790381947706939,3.0,4.0,-0.39169521028974263,3.0,3.0,-0.7097654118930715,2.0,2.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-016,0.34949689316639143,1,1,0.6317960193829939,4,5,-0.4350042410506259,3,3,-1.3719027661357925,1,1,0.003875968992248,1,1,1.0,1,1,1.0,-0.4792680880224321,4,5,1.23636920868662,1.0,2.0,0.6161951609950289,4.0,5.0,-0.21204044466897437,3.0,4.0,-0.8035714285714285,1.0,2.0,0.003875968992248,1.0,1.0,1.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,0.6109650828343524,1.0,1.0,0.25450385918293006,3.0,3.0,-0.39804990209515523,3.0,3.0,-0.7960088691796009,2.0,2.0,0.003875968992248,1.0,1.0,1.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,1.0177852413092068,1.0,1.0,0.2824879874291292,3.0,4.0,-0.36321165823311885,3.0,4.0,-0.3635775862068964,3.0,4.0,0.003875968992248,1.0,1.0,1.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,0.8064367311474732,1.0,1.0,0.36488155415601436,3.0,4.0,-0.3618648200772654,3.0,4.0,-0.7168576104746318,2.0,2.0,0.003875968992248,1.0,1.0,1.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-006,-2.855000986625214,1,1,0.3743452905731667,3,4,-1.6867201493418922,1,1,-1.0633580398340563,1,1,0.0,1,1,0.0,1,1,0.0,-0.4792680880224321,4,5,-2.3490342500472323,1.0,1.0,0.2782258353525757,3.0,4.0,-1.4564568960082553,1.0,1.0,-0.8027131413312989,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.3680900480602539,4.0,5.0,-2.826094439735508,1.0,1.0,0.05956230311132066,2.0,2.0,-1.6197258351663903,1.0,1.0,-0.8125749336143682,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.4533559740660697,4.0,5.0,-2.5313796765824743,1.0,1.0,-0.049543318291828425,2.0,2.0,-1.6058195461823992,1.0,1.0,-0.3342273414360911,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.5417894706721552,4.0,5.0,-2.71880241189238,1.0,1.0,0.013413871187339388,2.0,2.0,-1.4998769198077024,1.0,1.0,-0.7487410018231255,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.483598361448892,4.0,5.0
65000090-012,2.379213174162282,2,3,0.6676886577568397,4,5,-0.43730462943633347,3,3,-1.3719027661357925,1,1,1.0,1,1,2.0,2,2,1.0,-0.4792680880224321,4,5,3.4373779876061015,3.0,4.0,0.6822720040186399,4.0,5.0,-0.19823253978085598,3.0,4.0,-0.6785714285714285,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,-0.3680900480602539,4.0,5.0,2.7035093507619385,2.0,3.0,0.2981143000116055,3.0,4.0,-0.36963034990643506,3.0,3.0,-0.771618625277162,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,-0.4533559740660697,4.0,5.0,3.0310486936929806,3.0,3.0,0.35044549359585786,3.0,4.0,-0.330696409690492,3.0,4.0,-0.4469109195402298,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,-0.5417894706721552,4.0,5.0,2.8494673749990502,3.0,3.0,0.38014969047399416,4.0,4.0,-0.3585951378776612,3.0,4.0,-0.6884888161483906,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,-0.483598361448892,4.0,5.0
65000090-017,1.900550578999203,2,2,0.5933422441769489,4,5,-1.0416208110195213,1,2,-1.1719027661357924,1,1,2.0,2,3,0.0,1,1,2.0,-0.4792680880224321,4,5,2.675023049027822,2.0,3.0,0.4907920411472495,4.0,5.0,-0.7691075154877448,2.0,2.0,-0.6785714285714285,2.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,-0.3680900480602539,4.0,5.0,1.9044681923871964,2.0,2.0,0.20136731376810818,3.0,3.0,-1.0281329477583008,1.0,2.0,-0.815410199556541,1.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,-0.4533559740660697,4.0,5.0,2.2362082852270233,2.0,2.0,0.181177385432002,3.0,3.0,-1.0049756065443178,1.0,2.0,-0.39820402298850566,3.0,4.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,-0.5417894706721552,4.0,5.0,2.0889190147274497,2.0,2.0,0.18861091796932247,3.0,3.0,-0.9289686099871977,2.0,2.0,-0.6871249318057828,2.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,-0.483598361448892,4.0,5.0
65000090-018,2.56192028588832,2,3,0.6133082562762501,4,5,-0.5430742590868491,2,3,-1.0290456232786496,1,1,2.0,2,3,1.0,1,1,1.0,-0.4792680880224321,4,5,3.4035549912859726,3.0,4.0,0.5986557416309966,4.0,5.0,-0.2912964165704847,3.0,4.0,-0.5357142857142857,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,2.5975495946810585,2.0,3.0,0.2301023043017068,3.0,3.0,-0.5066436788551804,3.0,3.0,-0.6725530566993982,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,2.9173397068484626,3.0,3.0,0.25963204863685074,3.0,4.0,-0.5034893243182033,3.0,3.0,-0.2970135467980296,4.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,2.8303364426010584,3.0,3.0,0.3404141293346745,3.0,4.0,-0.4751193377545239,3.0,3.0,-0.5513599875302003,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-019,0.8406085101787162,1,1,0.6317133068050831,4,5,-1.1438099114603908,1,1,-1.1719027661357924,1,1,1.003875968992248,2,2,1.0,1,1,1.0,-0.4792680880224321,4,5,1.5917559444334834,2.0,2.0,0.5531451718143876,4.0,5.0,-0.9186037197414698,2.0,2.0,-0.6785714285714285,2.0,3.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,0.8151730434724442,1.0,1.0,0.23438352947791188,3.0,3.0,-1.1315930086478319,1.0,1.0,-0.8381374722838137,1.0,2.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,1.1449181318736628,1.0,1.0,0.20173737783220622,3.0,3.0,-1.113805169565993,1.0,1.0,-0.4051005747126436,3.0,4.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,1.024732036906488,1.0,1.0,0.2355962414686566,3.0,3.0,-1.0241041688976682,1.0,2.0,-0.707037643207856,2.0,2.0,1.003875968992248,2.0,2.0,1.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-007,2.7562563860998557,2,3,0.6646502517000746,4,5,-1.3429372971562799,1,1,-1.086188480421507,1,1,2.0,2,3,2.0,2,2,1.0,-0.4792680880224321,4,5,3.723946626732844,3.0,4.0,0.5325357495894167,4.0,5.0,-1.0476419319391757,1.0,2.0,-0.3928571428571428,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.3680900480602539,4.0,5.0,3.048918638261,3.0,3.0,0.2522294662856627,3.0,3.0,-1.2429862128436102,1.0,1.0,-0.5069686411149826,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.4533559740660697,4.0,5.0,3.1943950971291666,3.0,3.0,0.16508571046437676,2.0,3.0,-1.2399746237796396,1.0,1.0,-0.18892651888341527,4.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.5417894706721552,4.0,5.0,3.1000205924193374,3.0,3.0,0.18151766740918227,3.0,3.0,-1.2234929774330892,1.0,1.0,-0.37440573610786376,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.483598361448892,4.0,5.0
65000090-002,2.981268406614967,3,3,0.5477219578265387,4,5,-0.0009969827676321874,4,5,-1.086188480421507,1,1,2.0,2,3,2.0,2,2,0.0,-0.4792680880224321,4,5,3.997383247269553,3.0,4.0,0.5416895189911356,4.0,5.0,0.2166409191958141,4.0,5.0,-0.3928571428571428,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,-0.3680900480602539,4.0,5.0,4.24166380440075,3.0,4.0,0.20200018422940672,3.0,3.0,-1.1764647603301759e-05,4.0,5.0,-0.5069686411149826,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.4533559740660697,4.0,5.0,3.513721837094123,3.0,4.0,0.23789398239139747,3.0,3.0,0.0065438442582959055,4.0,5.0,-0.18892651888341527,4.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,-0.5417894706721552,4.0,5.0,3.475383390586983,3.0,4.0,0.2798352087530289,3.0,4.0,0.026547369407076887,4.0,5.0,-0.3474008261242304,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,-0.483598361448892,4.0,5.0
