,V_ID,kmeans_all_9,kmeans_nocity&county_6,kmeans_nocity_6,c_,j_,ht_,s_,cs_,e_
185,65000030-022,3,4,5,23,13,1,1,1,13
186,65000030-020,0,3,0,6,19,1,1,1,4
187,65000030-062,1,1,3,23,17,1,1,0,13
188,65000030-075,3,4,5,6,14,1,1,0,13
189,65000030-074,3,4,5,11,10,1,1,0,13
190,65000030-039,4,0,2,22,20,1,0,1,12
191,65000030-002,1,1,3,18,15,0,1,0,11
192,65000030-012,1,1,3,6,11,1,1,0,13
193,65000030-006,1,1,3,1,20,1,1,0,13
194,65000030-045,3,4,5,23,8,1,1,1,13
195,65000030-067,4,0,2,6,11,1,0,0,12
196,65000030-073,8,2,1,18,18,1,1,0,12
197,65000030-038,6,5,5,6,8,1,0,1,13
198,65000030-059,1,1,3,23,8,1,1,0,13
199,65000030-025,2,2,1,12,18,1,1,0,12
200,65000030-071,4,0,2,1,17,1,0,0,12
201,65000030-064,8,2,1,2,11,1,1,0,14
202,65000030-040,4,0,2,14,20,1,0,0,12
203,65000030-050,3,4,5,23,11,1,1,1,1
204,65000030-047,3,4,5,6,0,1,1,1,13
205,65000030-051,1,4,5,1,20,1,1,1,13
206,65000030-048,3,4,5,22,20,1,1,0,13
207,65000030-079,3,4,5,11,9,1,1,1,13
208,65000030-049,3,4,5,6,0,1,1,1,1
209,65000030-036,5,5,5,6,11,1,0,1,13
210,65000030-010,2,0,2,5,20,1,1,1,12
211,65000030-041,8,2,1,0,16,1,2,0,10
212,65000030-092,6,5,5,22,1,1,0,1,13
213,65000030-093,2,2,1,1,10,1,1,0,12
214,65000030-056,1,1,3,22,9,1,1,0,13
215,65000030-061,2,0,2,23,17,1,1,0,12
216,65000030-087,6,1,3,5,1,1,0,0,13
217,65000030-068,8,1,3,9,11,0,0,0,13
218,65000030-024,3,4,5,6,20,1,1,1,13
219,65000030-065,4,0,2,5,1,0,0,0,12
220,65000030-011,1,1,3,5,20,1,1,1,1
221,65000030-054,8,2,1,0,16,1,2,0,13
222,65000030-063,8,1,3,1,10,1,0,0,13
223,65000030-017,8,2,1,23,11,1,2,0,13
224,65000030-084,1,1,3,2,11,1,1,0,11
225,65000030-080,3,4,5,23,11,1,2,1,12
226,65000030-018,1,1,3,22,1,1,1,0,13
227,65000030-014,1,1,3,6,11,1,1,0,13
228,65000030-013,8,2,1,22,17,1,1,0,13
229,65000030-016,1,1,3,23,8,1,1,0,13
230,65000030-015,1,1,3,1,17,1,1,0,13
231,65000030-033,1,1,3,22,20,1,1,0,13
232,65000030-077,8,2,1,14,10,1,1,0,13
233,65000030-027,2,2,1,6,11,1,1,0,12
234,65000030-032,4,0,2,6,20,1,0,0,4
235,65000030-028,2,2,1,22,20,1,1,0,12
236,65000030-031,1,1,3,23,0,1,1,0,13
237,65000030-030,4,0,2,15,0,1,0,0,15
238,65000030-072,1,1,3,6,1,1,1,0,13
239,65000030-029,2,2,1,6,14,1,1,0,12
240,65000030-076,1,1,3,22,10,1,1,0,13
241,65000030-055,2,0,2,12,12,1,1,0,4
242,65000030-066,4,0,2,1,8,0,0,0,12
243,65000030-078,6,5,5,11,1,1,0,1,13
244,65000030-037,4,0,2,5,11,1,0,0,4
245,65000030-035,4,0,2,18,12,1,0,0,14
246,65000030-007,1,1,3,14,10,1,1,0,1
247,65000030-008,2,2,1,23,8,1,1,0,12
248,65000030-085,2,0,2,2,11,1,1,0,8
249,65000030-052,2,0,2,15,8,1,1,0,14
250,65000030-053,2,0,2,19,10,1,1,0,14
251,65000030-086,2,0,2,1,1,1,1,0,4
252,65000030-034,8,1,3,1,20,1,2,0,13
253,65000150-009,4,0,2,2,17,1,0,0,4
254,65000150-008,4,0,2,2,17,1,0,0,14
255,65000150-007,8,2,1,0,9,0,2,0,9
256,65000150-015,8,2,1,15,17,1,0,0,8
257,65000150-013,2,2,1,2,17,1,1,0,14
258,65000150-010,4,0,2,15,8,1,0,0,10
259,65000150-006,8,2,1,15,3,0,0,0,8
260,65000150-005,2,0,2,15,15,0,1,0,5
261,65000150-014,8,2,1,19,1,0,1,0,15
262,65000150-018,4,0,2,10,15,0,0,0,10
263,65000150-002,4,0,2,0,4,0,0,0,0
264,65000150-017,4,0,2,19,1,1,0,0,5
265,65000150-019,4,0,2,10,15,1,0,0,8
266,65000150-020,4,0,2,19,1,0,0,0,10
267,65000150-001,4,1,3,15,8,1,0,0,11
268,65000150-004,8,2,1,0,9,1,2,0,9
269,65000150-012,2,2,1,22,1,1,1,0,12
270,65000150-011,8,2,1,11,9,1,0,0,12
271,65000150-003,8,2,1,15,17,1,1,0,5
272,65000150-016,8,2,1,15,17,1,1,0,10
273,65000230-010,8,2,1,19,9,0,1,0,7
274,65000230-004,2,2,1,15,17,1,2,0,7
275,65000230-003,2,2,1,19,1,0,1,0,7
276,65000230-002,2,0,2,19,1,0,1,0,7
277,65000230-006,2,0,2,15,15,1,1,0,10
278,65000230-008,8,2,1,19,9,1,1,0,0
279,65000230-007,2,2,1,15,17,1,1,0,2
280,65000230-009,4,0,2,19,9,0,0,0,9
281,65000230-005,2,2,1,19,9,1,1,0,2
282,65000230-001,2,0,2,15,3,0,1,1,7
283,65000130-017,8,2,1,12,15,1,2,0,13
284,65000130-041,4,0,2,1,20,1,0,1,12
285,65000130-004,4,0,2,2,3,1,0,0,14
286,65000130-037,0,3,0,1,17,1,0,1,12
287,65000130-003,0,3,0,13,8,1,0,1,4
288,65000130-033,0,3,0,1,3,1,0,1,14
289,65000130-002,0,3,0,11,9,1,0,1,12
290,65000130-001,0,3,0,15,15,1,0,1,10
291,65000130-010,0,3,0,12,12,1,0,1,12
292,65000130-020,0,3,0,15,17,1,0,1,0
293,65000130-042,4,0,2,23,14,1,0,1,12
294,65000130-029,0,3,0,1,1,1,0,1,12
295,65000130-039,0,3,0,22,20,1,0,1,12
296,65000130-031,4,0,2,23,3,1,0,0,12
297,65000130-018,4,0,2,12,15,1,0,0,12
298,65000130-028,4,1,3,23,11,1,0,0,13
299,65000130-044,4,0,2,1,20,1,0,0,12
300,65000130-034,4,0,2,15,3,1,0,0,8
301,65000130-040,4,0,2,12,3,1,0,0,12
302,65000130-030,4,0,2,5,3,1,0,0,4
303,65000130-047,4,1,3,9,17,1,0,0,13
304,65000130-019,4,0,2,15,3,1,0,0,10
305,65000130-035,4,0,2,5,17,0,0,0,12
306,65000130-007,0,3,0,2,3,1,0,1,8
307,65000130-006,0,3,0,5,17,1,1,1,4
308,65000130-043,0,3,0,18,0,1,0,1,12
309,65000130-009,4,0,2,15,20,1,0,0,8
310,65000130-027,0,3,0,23,8,1,0,1,12
311,65000130-038,4,0,2,1,3,1,0,0,12
312,65000130-021,0,3,5,10,6,1,0,1,10
313,65000130-014,4,0,2,1,11,1,0,0,12
314,65000130-022,0,3,0,15,17,1,0,1,10
315,65000130-015,8,2,1,19,9,1,1,0,9
316,65000130-013,8,2,1,2,15,1,1,0,14
317,65000130-012,4,0,2,12,15,1,0,0,12
318,65000130-016,4,1,3,18,3,1,0,0,1
319,65000130-011,6,4,5,22,1,0,0,0,13
320,65000130-026,4,0,2,19,9,1,0,0,0
321,65000130-036,0,3,0,2,8,1,1,1,14
322,65000130-008,0,3,0,2,1,1,0,1,4
323,65000130-046,4,1,3,9,8,1,0,0,13
324,65000130-005,4,5,3,11,10,1,0,1,13
325,65000130-045,4,0,2,7,1,1,0,0,4
326,65000130-032,4,0,2,7,1,1,0,0,4
327,65000130-023,0,3,0,15,3,1,0,1,5
328,65000130-025,4,0,2,5,10,1,0,0,12
329,65000130-024,4,0,2,2,3,1,0,0,14
330,65000200-005,2,2,1,8,4,1,1,0,9
331,65000200-002,2,0,2,0,4,1,1,0,0
332,65000200-003,2,0,2,8,4,1,1,0,9
333,65000200-006,2,0,2,8,16,1,1,0,9
334,65000200-007,2,2,1,21,4,1,1,0,9
335,65000200-004,8,2,1,4,16,1,2,0,13
336,65000200-001,8,2,1,4,4,1,1,0,9
337,65000240-011,2,2,1,4,4,1,1,0,10
338,65000240-009,2,2,1,3,16,1,1,0,9
339,65000240-006,4,0,2,4,4,1,0,0,9
340,65000240-010,8,2,1,21,16,1,1,0,9
341,65000240-005,4,0,2,8,16,1,0,0,0
342,65000240-012,8,2,1,4,16,1,1,0,9
343,65000240-008,8,2,1,21,16,1,2,0,9
344,65000240-007,8,2,1,3,16,1,0,0,9
345,65000240-003,4,0,2,4,16,1,0,0,5
346,65000240-004,4,0,2,4,16,1,0,0,0
347,65000240-002,4,0,2,8,16,1,2,0,5
348,65000240-001,8,2,1,21,16,1,2,0,0
349,65000060-013,8,2,1,19,20,1,2,0,10
350,65000060-054,0,3,5,13,5,1,0,1,6
351,65000060-052,4,0,2,7,5,1,0,0,15
352,65000060-044,0,3,0,6,0,1,0,1,4
353,65000060-037,0,3,5,16,13,1,0,1,14
354,65000060-045,0,3,0,7,14,1,0,1,6
355,65000060-041,8,2,1,13,18,1,2,0,13
356,65000060-046,5,5,4,11,10,1,0,1,13
357,65000060-008,0,3,0,6,0,0,0,1,4
358,65000060-016,8,2,1,10,15,1,2,0,10
359,65000060-057,8,2,1,6,14,1,2,0,12
360,65000060-053,8,1,3,14,4,1,0,0,13
361,65000060-023,2,2,1,15,8,1,1,0,9
362,65000060-033,0,3,0,14,10,1,2,1,6
363,65000060-001,0,3,0,11,14,1,0,1,12
364,65000060-021,2,2,1,0,4,1,1,0,7
365,65000060-004,0,5,5,6,14,0,0,1,13
366,65000060-003,0,3,0,6,14,0,0,1,12
367,65000060-010,4,0,2,14,19,1,0,0,12
368,65000060-011,0,3,0,7,20,1,1,1,15
369,65000060-056,4,0,2,10,12,1,0,1,2
370,65000060-064,8,2,1,23,0,1,2,0,12
371,65000060-007,0,5,4,6,13,0,0,1,1
372,65000060-058,4,0,2,15,0,1,0,1,5
373,65000060-006,0,3,0,13,13,1,0,1,14
374,65000060-059,2,0,2,7,14,1,2,0,14
375,65000060-026,2,2,1,8,9,1,1,0,7
376,65000060-035,0,3,5,8,16,1,0,1,12
377,65000060-028,2,2,1,4,9,1,1,0,7
378,65000060-061,0,5,5,22,10,1,0,1,13
379,65000060-040,5,5,4,18,18,1,0,1,1
380,65000060-032,0,3,0,14,10,1,0,1,6
381,65000060-062,0,3,0,7,20,0,0,1,8
382,65000060-017,2,0,2,15,3,1,2,0,0
383,65000060-009,4,0,2,14,20,1,0,0,4
384,65000060-043,4,1,3,11,10,1,0,0,13
385,65000060-034,0,3,0,0,10,1,0,1,14
386,65000060-036,0,3,5,11,10,1,0,1,12
387,65000060-066,4,0,2,5,11,1,0,0,12
388,65000060-042,0,5,5,17,8,1,0,1,13
389,65000060-031,0,3,0,14,4,1,2,1,6
390,65000060-039,0,3,0,11,10,1,0,1,12
391,65000060-038,0,5,5,13,18,1,0,1,1
392,65000060-019,2,2,1,15,15,1,2,0,9
393,65000060-055,2,0,2,5,14,1,2,0,4
394,65000060-002,0,5,4,6,14,1,0,1,13
395,65000060-014,4,0,2,10,12,1,0,0,5
396,65000060-015,4,0,2,2,8,1,0,0,6
397,65000060-067,4,0,2,18,11,1,0,0,4
398,65000060-005,0,5,5,6,13,0,0,1,1
399,65000060-020,8,2,1,5,8,1,2,0,4
400,65000060-048,4,0,2,1,10,1,0,0,12
401,65000060-047,4,5,3,6,14,1,0,0,13
402,65000060-050,0,3,0,22,19,1,0,1,12
403,65000060-029,2,2,1,8,4,1,1,0,7
404,65000060-049,4,0,2,6,20,1,0,0,12
405,65000060-051,0,3,0,7,19,1,0,1,6
406,65000060-025,8,2,1,7,10,1,1,0,7
407,65000060-063,8,2,1,7,20,1,1,0,4
408,65000060-022,8,2,1,15,11,1,1,0,5
409,65000060-069,8,2,1,19,19,1,2,0,9
410,65000060-068,8,2,1,7,14,1,2,0,14
411,65000060-065,4,0,2,7,19,1,0,0,8
412,65000060-024,2,2,1,0,4,1,1,0,9
413,65000060-018,2,0,2,15,3,0,2,0,9
414,65000060-030,2,2,1,15,8,1,1,0,2
415,65000060-012,0,3,5,8,9,1,0,1,15
416,65000060-060,2,2,1,10,12,1,2,0,5
417,65000060-027,8,2,1,8,9,1,1,0,7
418,65000050-054,2,0,2,12,15,1,1,0,12
419,65000050-058,1,1,3,9,17,0,1,0,13
420,65000050-053,4,0,2,10,15,1,0,0,8
421,65000050-014,4,0,2,23,17,0,0,0,12
422,65000050-057,1,1,3,9,1,1,1,0,13
423,65000050-075,1,1,3,12,12,1,1,0,1
424,65000050-017,4,1,3,9,17,0,0,0,13
425,65000050-023,1,1,3,12,8,0,1,0,13
426,65000050-011,1,5,3,18,8,0,0,1,1
427,65000050-051,4,1,3,22,20,0,0,0,13
428,65000050-020,1,1,3,22,9,0,1,0,13
429,65000050-052,4,1,3,2,11,0,0,0,1
430,65000050-043,0,3,0,10,6,0,0,1,10
431,65000050-028,2,2,1,1,1,0,1,0,12
432,65000050-061,1,1,3,9,17,0,1,0,13
433,65000050-030,2,0,2,23,3,0,1,0,12
434,65000050-084,4,1,3,9,1,0,0,0,13
435,65000050-044,4,0,2,1,3,0,0,0,12
436,65000050-041,4,1,3,23,17,0,0,0,13
437,65000050-083,4,1,3,9,17,0,0,0,13
438,65000050-038,4,1,3,12,15,1,0,0,13
439,65000050-004,1,5,3,23,11,0,0,1,13
440,65000050-060,4,0,2,23,0,0,0,1,12
441,65000050-012,4,1,3,22,1,0,0,0,13
442,65000050-036,0,3,0,7,20,0,1,1,8
443,65000050-027,4,5,3,23,8,1,0,1,13
444,65000050-046,4,5,3,9,3,1,0,1,13
445,65000050-033,4,1,3,5,11,0,0,0,13
446,65000050-055,4,5,3,23,3,0,0,1,13
447,65000050-003,4,5,3,19,4,0,0,0,1
448,65000050-024,5,5,5,1,9,1,0,1,13
449,65000050-078,6,5,5,1,17,1,0,1,13
450,65000050-047,1,1,3,9,17,0,1,0,13
451,65000050-070,4,1,3,13,8,0,0,0,1
452,65000050-056,4,5,3,22,9,0,0,1,13
453,65000050-069,5,5,5,1,20,0,0,1,13
454,65000050-009,4,5,3,12,3,0,0,1,13
455,65000050-007,4,0,2,5,11,0,0,0,12
456,65000050-025,0,5,5,2,8,0,0,1,1
457,65000050-039,0,5,5,23,11,0,0,1,13
458,65000050-008,5,5,4,23,11,0,0,1,13
459,65000050-071,4,1,3,23,3,0,0,0,13
460,65000050-019,5,5,5,14,4,0,0,1,13
461,65000050-022,0,3,0,19,4,0,0,1,6
462,65000050-065,5,5,4,1,20,0,0,1,13
463,65000050-010,6,5,5,11,10,0,0,1,13
464,65000050-073,4,1,3,9,20,1,0,0,13
465,65000050-064,4,1,3,2,0,1,0,0,11
466,65000050-063,4,0,2,9,1,0,0,0,12
467,65000050-074,1,1,3,23,11,0,1,0,13
468,65000050-016,5,5,4,5,3,0,0,1,1
469,65000050-081,4,1,3,1,1,0,0,0,13
470,65000050-032,4,1,3,12,8,0,0,0,13
471,65000050-082,1,1,3,9,17,0,1,0,13
472,65000050-035,4,1,3,9,1,0,0,0,13
473,65000050-077,4,0,2,14,9,0,0,1,6
474,65000050-001,4,1,3,23,8,0,0,0,13
475,65000050-040,0,3,0,19,10,0,0,1,5
476,65000050-018,4,0,2,15,3,0,0,0,2
477,65000050-080,1,1,3,22,9,1,1,0,13
478,65000050-005,4,0,2,15,14,1,0,0,8
479,65000050-068,5,5,5,7,9,0,0,1,11
480,65000050-072,8,2,1,2,8,1,0,0,14
481,65000050-026,5,5,4,14,10,0,0,1,1
482,65000050-034,4,1,3,22,17,0,0,0,13
483,65000050-062,2,0,2,18,0,1,1,0,12
484,65000050-076,2,0,2,18,12,1,1,0,4
485,65000050-029,4,0,2,7,10,0,0,1,4
486,65000050-037,4,1,3,1,1,0,0,0,13
487,65000050-059,4,0,2,5,11,0,0,0,4
488,65000050-031,4,1,3,9,11,0,0,0,13
489,65000050-049,1,1,3,22,9,0,1,0,13
490,65000050-042,4,1,3,11,1,0,0,0,13
491,65000050-045,4,0,2,9,3,0,0,0,12
492,65000050-013,5,5,4,5,20,0,0,1,1
493,65000050-066,6,5,5,1,1,1,0,1,13
494,65000050-021,4,0,2,18,15,1,0,1,4
495,65000050-015,4,0,2,10,6,0,0,0,10
496,65000050-006,4,1,3,1,17,0,0,0,13
497,65000050-048,0,3,0,10,15,1,1,1,5
498,65000050-002,4,1,3,10,0,0,0,0,11
499,65000050-067,4,0,2,5,9,1,0,0,12
500,65000050-079,2,2,1,22,9,1,1,0,12
501,65000050-050,0,3,0,18,12,1,1,1,4
502,65000010-092,6,4,5,2,17,0,0,1,11
503,65000010-010,4,0,2,15,17,0,0,1,15
504,65000010-058,6,1,3,22,1,1,0,0,13
505,65000010-123,4,0,2,1,17,0,0,0,12
506,65000010-081,6,0,2,1,20,0,0,1,12
507,65000010-034,6,1,3,9,1,0,2,0,13
508,65000010-026,6,5,5,1,20,0,0,1,13
509,65000010-088,6,5,3,23,17,0,0,0,13
510,65000010-091,6,0,2,23,17,1,0,0,12
511,65000010-060,6,1,3,5,20,1,2,0,13
512,65000010-053,4,0,2,7,1,0,0,0,6
513,65000010-114,6,1,3,22,20,0,1,0,13
514,65000010-013,6,1,3,22,10,0,0,0,13
515,65000010-021,8,2,1,23,1,1,2,0,13
516,65000010-036,6,1,3,9,17,0,0,0,13
517,65000010-082,4,0,2,23,19,0,0,0,12
518,65000010-014,8,2,1,22,14,0,1,0,12
519,65000010-073,6,5,5,1,20,0,0,1,13
520,65000010-054,6,1,3,23,8,1,2,0,1
521,65000010-061,6,4,5,23,11,1,2,0,13
522,65000010-112,2,0,2,2,17,1,1,0,6
523,65000010-094,6,1,3,1,17,0,0,0,13
524,65000010-125,6,1,3,23,1,1,1,0,13
525,65000010-079,6,1,3,23,11,0,0,0,13
526,65000010-033,4,0,2,2,11,0,0,1,14
527,65000010-107,4,0,2,11,10,1,2,0,12
528,65000010-120,2,2,1,22,20,1,1,0,12
529,65000010-098,8,2,1,18,6,1,1,0,4
530,65000010-045,6,4,5,22,1,1,2,0,13
531,65000010-023,6,1,3,1,1,0,1,0,13
532,65000010-078,6,0,2,12,12,0,0,0,12
