COUNTYNAME,TOWNNAME,VILLNAME,fire,police,primary,secondary,gym,area,ID,名稱
新北市,新莊區,文德里,"1","1","1","1",,"91688",15|13,新北市立聯合醫院 板橋院區
新北市,新莊區,興漢里,"1","1","1","1","1","132426",15|13,新北市立聯合醫院 板橋院區
新北市,新莊區,榮和里,"1","1","1","1","1","163795",15|13,新北市立聯合醫院 板橋院區
新北市,新莊區,泰豐里,"1","1","1","1",,"191245",15|13|1,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",15|13|1,新北市立聯合醫院 板橋院區
新北市,板橋區,宏翠里,"1","1","1","1",,"449669",15|13|1,新北市立聯合醫院 板橋院區
新北市,新莊區,文德里,"1","1","1","1",,"91688",15|13|1,新北市立聯合醫院 板橋院區
新北市,新莊區,興漢里,"1","1","1","1","1","132426",15|13|1,新北市立聯合醫院 板橋院區
新北市,新莊區,榮和里,"1","1","1","1","1","163795",15|13|1,新北市立聯合醫院 板橋院區
新北市,板橋區,宏翠里,"1","1","1","1",,"449669",15|14,新北市立聯合醫院 板橋院區
新北市,新莊區,文德里,"1","1","1","1",,"91688",15|14,新北市立聯合醫院 板橋院區
新北市,板橋區,溪頭里,"1","1",,"1",,"786967",15|14,新北市立聯合醫院 板橋院區
新北市,板橋區,宏翠里,"1","1","1","1",,"449669",15|14|1,新北市立聯合醫院 板橋院區
新北市,新莊區,文德里,"1","1","1","1",,"91688",15|14|13,新北市立聯合醫院 板橋院區
新北市,新莊區,興漢里,"1","1","1","1","1","132426",15|14|13,新北市立聯合醫院 板橋院區
新北市,新莊區,榮和里,"1","1","1","1","1","163795",15|14|13,新北市立聯合醫院 板橋院區
新北市,板橋區,香社里,,"1",,"1","1","270122",16|1,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",16|1,新北市立聯合醫院 板橋院區
新北市,板橋區,香社里,,"1",,"1","1","270122",16|5,新北市立聯合醫院 板橋院區
新北市,板橋區,香社里,,"1",,"1","1","270122",16|5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",16|5|1,新北市立聯合醫院 板橋院區
新北市,新莊區,瓊林里,"1","1","1",,,"1605955",16|12,新北市立聯合醫院 板橋院區
新北市,新莊區,瓊林里,"1","1","1",,,"1605955",16|13,新北市立聯合醫院 板橋院區
新北市,新莊區,泰豐里,"1","1","1","1",,"191245",16|13,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",16|13,新北市立聯合醫院 板橋院區
新北市,新莊區,瓊林里,"1","1","1",,,"1605955",16|13|1,新北市立聯合醫院 板橋院區
新北市,新莊區,泰豐里,"1","1","1","1",,"191245",16|13|1,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",16|13|1,新北市立聯合醫院 板橋院區
新北市,新莊區,瓊林里,"1","1","1",,,"1605955",16|13|12,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",16|15|1,新北市立聯合醫院 板橋院區
新北市,新莊區,瓊林里,"1","1","1",,,"1605955",16|15|13,新北市立聯合醫院 板橋院區
新北市,新莊區,泰豐里,"1","1","1","1",,"191245",16|15|13,新北市立聯合醫院 板橋院區
新北市,新莊區,興漢里,"1","1","1","1","1","132426",16|15|13,新北市立聯合醫院 板橋院區
新北市,新莊區,泰豐里,"1","1","1","1",,"191245",16|15|13|1,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",16|15|13|1,新北市立聯合醫院 板橋院區
新北市,新莊區,興漢里,"1","1","1","1","1","132426",16|15|13|1,新北市立聯合醫院 板橋院區
新北市,板橋區,介壽里,"1","1",,"1",,"80926",,新北市立聯合醫院 板橋院區
新北市,板橋區,華江里,"1","1",,"1",,"120200",,新北市立聯合醫院 板橋院區
新北市,板橋區,新埔里,"1","1",,"1",,"60875",,新北市立聯合醫院 板橋院區
新北市,板橋區,聯翠里,"1",,,"1",,"66243",,新北市立聯合醫院 板橋院區
新北市,板橋區,明翠里,"1","1",,"1",,"101159",,新北市立聯合醫院 板橋院區
新北市,板橋區,文化里,"1",,,"1",,"130743",,新北市立聯合醫院 板橋院區
新北市,板橋區,滿翠里,"1","1",,"1",,"59371",,新北市立聯合醫院 板橋院區
新北市,板橋區,純翠里,"1","1",,"1",,"108214",,新北市立聯合醫院 板橋院區
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",3|2,板橋國泰醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",3|2,板橋國泰醫院
新北市,板橋區,廣福里,"1","1","1","1",,"254254",3|2,板橋國泰醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",3|2,板橋國泰醫院
新北市,板橋區,信義里,"1","1","1",,,"86660",3|2,板橋國泰醫院
新北市,板橋區,中山里,"1","1",,,,"413419",3|2,板橋國泰醫院
新北市,板橋區,大安里,"1","1",,,,"89227",3|2,板橋國泰醫院
新北市,板橋區,華東里,"1","1",,,,"512289",3|2,板橋國泰醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",3|2,板橋國泰醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",4|2,板橋國泰醫院
新北市,板橋區,廣福里,"1","1","1","1",,"254254",4|2,板橋國泰醫院
新北市,板橋區,和平里,"1","1","1","1",,"71663",4|2,板橋國泰醫院
新北市,板橋區,五權里,"1","1","1","1",,"140119",4|2,板橋國泰醫院
新北市,中和區,壽德里,"1","1","1","1",,"81496",4|2,板橋國泰醫院
新北市,中和區,明德里,"1","1",,"1",,"89016",4|2,板橋國泰醫院
新北市,板橋區,重慶里,"1","1",,"1",,"241079",4|2,板橋國泰醫院
新北市,板橋區,大豐里,"1","1",,"1",,"95220",4|2,板橋國泰醫院
新北市,中和區,清穗里,"1","1",,"1",,"141497",4|2,板橋國泰醫院
新北市,中和區,自強里,"1","1",,"1",,"159676",4|2,板橋國泰醫院
新北市,中和區,國華里,"1","1",,"1",,"41790",4|2,板橋國泰醫院
新北市,板橋區,廣德里,"1","1",,"1",,"148194",4|2,板橋國泰醫院
新北市,中和區,國光里,"1","1",,"1",,"60688",4|2,板橋國泰醫院
新北市,板橋區,福星里,"1","1",,"1",,"133363",4|2,板橋國泰醫院
新北市,板橋區,福德里,"1","1",,"1",,"142395",4|2,板橋國泰醫院
新北市,板橋區,華福里,"1","1",,"1",,"40764",4|2,板橋國泰醫院
新北市,中和區,民生里,"1","1",,,,"57233",4|2,板橋國泰醫院
新北市,板橋區,國泰里,"1","1",,"1",,"97260",4|2,板橋國泰醫院
新北市,板橋區,後埔里,"1","1",,"1",,"61067",4|2,板橋國泰醫院
新北市,板橋區,新興里,"1","1",,"1",,"92051",4|2,板橋國泰醫院
新北市,板橋區,福祿里,"1","1",,"1",,"93526",4|2,板橋國泰醫院
新北市,板橋區,景星里,"1","1",,"1",,"83614",4|2,板橋國泰醫院
新北市,板橋區,民族里,"1","1",,,,"98579",4|2,板橋國泰醫院
新北市,板橋區,鄉雲里,"1","1",,"1",,"216314",4|2,板橋國泰醫院
新北市,板橋區,流芳里,"1","1",,"1",,"44560",4|2,板橋國泰醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",4|2,板橋國泰醫院
新北市,板橋區,深丘里,"1","1",,"1",,"343539",4|2,板橋國泰醫院
新北市,板橋區,福丘里,"1","1",,"1",,"253104",4|2,板橋國泰醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",4|3|2,板橋國泰醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",4|3|2,板橋國泰醫院
新北市,板橋區,廣福里,"1","1","1","1",,"254254",4|3|2,板橋國泰醫院
新北市,板橋區,和平里,"1","1","1","1",,"71663",4|3|2,板橋國泰醫院
新北市,板橋區,華德里,"1","1","1",,,"268132",4|3|2,板橋國泰醫院
新北市,板橋區,五權里,"1","1","1","1",,"140119",4|3|2,板橋國泰醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",4|3|2,板橋國泰醫院
新北市,板橋區,信義里,"1","1","1",,,"86660",4|3|2,板橋國泰醫院
新北市,板橋區,重慶里,"1","1",,"1",,"241079",4|3|2,板橋國泰醫院
新北市,板橋區,仁愛里,"1","1",,"1",,"88494",4|3|2,板橋國泰醫院
新北市,板橋區,大豐里,"1","1",,"1",,"95220",4|3|2,板橋國泰醫院
新北市,板橋區,中山里,"1","1",,,,"413419",4|3|2,板橋國泰醫院
新北市,板橋區,華貴里,"1","1",,"1",,"70582",4|3|2,板橋國泰醫院
新北市,板橋區,華東里,"1","1",,,,"512289",4|3|2,板橋國泰醫院
新北市,板橋區,福星里,"1","1",,"1",,"133363",4|3|2,板橋國泰醫院
新北市,板橋區,華興里,"1","1",,"1",,"68506",4|3|2,板橋國泰醫院
新北市,板橋區,華福里,"1","1",,"1",,"40764",4|3|2,板橋國泰醫院
新北市,板橋區,新興里,"1","1",,"1",,"92051",4|3|2,板橋國泰醫院
新北市,板橋區,鄉雲里,"1","1",,"1",,"216314",4|3|2,板橋國泰醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",4|3|2,板橋國泰醫院
新北市,板橋區,新民里,"1","1",,"1",,"305458",5|1,板橋國泰醫院
新北市,板橋區,留侯里,"1","1",,,,"63631",5|2,板橋國泰醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",5|2,板橋國泰醫院
新北市,板橋區,光華里,"1","1",,"1",,"57618",5|2,板橋國泰醫院
新北市,板橋區,黃石里,"1","1",,,,"99855",5|2,板橋國泰醫院
新北市,板橋區,挹秀里,"1","1",,"1",,"121189",5|4,板橋國泰醫院
新北市,板橋區,深丘里,"1","1",,"1",,"343539",5|4,板橋國泰醫院
新北市,板橋區,黃石里,"1","1",,,,"99855",5|4,板橋國泰醫院
新北市,板橋區,福丘里,"1","1",,"1",,"253104",5|4,板橋國泰醫院
新北市,板橋區,新民里,"1","1",,"1",,"305458",5|4,板橋國泰醫院
新北市,板橋區,赤松里,"1","1",,,,"16222",5|4|2,板橋國泰醫院
新北市,板橋區,留侯里,"1","1",,,,"63631",5|4|2,板橋國泰醫院
新北市,板橋區,新興里,"1","1",,"1",,"92051",5|4|2,板橋國泰醫院
新北市,板橋區,景星里,"1","1",,"1",,"83614",5|4|2,板橋國泰醫院
新北市,板橋區,鄉雲里,"1","1",,"1",,"216314",5|4|2,板橋國泰醫院
新北市,板橋區,流芳里,"1","1",,"1",,"44560",5|4|2,板橋國泰醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",5|4|2,板橋國泰醫院
新北市,板橋區,光華里,"1","1",,"1",,"57618",5|4|2,板橋國泰醫院
新北市,板橋區,挹秀里,"1","1",,"1",,"121189",5|4|2,板橋國泰醫院
新北市,板橋區,深丘里,"1","1",,"1",,"343539",5|4|2,板橋國泰醫院
新北市,板橋區,黃石里,"1","1",,,,"99855",5|4|2,板橋國泰醫院
新北市,板橋區,福丘里,"1","1",,"1",,"253104",5|4|2,板橋國泰醫院
新北市,板橋區,新民里,"1","1",,"1",,"305458",5|4|2,板橋國泰醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",16|5,板橋國泰醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",21|3,板橋國泰醫院
新北市,板橋區,華德里,"1","1","1",,,"268132",21|3,板橋國泰醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",21|3,板橋國泰醫院
新北市,板橋區,中山里,"1","1",,,,"413419",21|3,板橋國泰醫院
新北市,板橋區,大安里,"1","1",,,,"89227",21|3,板橋國泰醫院
新北市,板橋區,華東里,"1","1",,,,"512289",21|3,板橋國泰醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",21|3|2,板橋國泰醫院
新北市,板橋區,華德里,"1","1","1",,,"268132",21|3|2,板橋國泰醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",21|3|2,板橋國泰醫院
新北市,板橋區,中山里,"1","1",,,,"413419",21|3|2,板橋國泰醫院
新北市,板橋區,華東里,"1","1",,,,"512289",21|3|2,板橋國泰醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",21|4|3|2,板橋國泰醫院
新北市,板橋區,華德里,"1","1","1",,,"268132",21|4|3|2,板橋國泰醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",21|4|3|2,板橋國泰醫院
新北市,板橋區,中山里,"1","1",,,,"413419",21|4|3|2,板橋國泰醫院
新北市,板橋區,華東里,"1","1",,,,"512289",21|4|3|2,板橋國泰醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",3|2,亞東紀念醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",3|2,亞東紀念醫院
新北市,板橋區,廣福里,"1","1","1","1",,"254254",3|2,亞東紀念醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",3|2,亞東紀念醫院
新北市,板橋區,信義里,"1","1","1",,,"86660",3|2,亞東紀念醫院
新北市,板橋區,中山里,"1","1",,,,"413419",3|2,亞東紀念醫院
新北市,板橋區,大安里,"1","1",,,,"89227",3|2,亞東紀念醫院
新北市,板橋區,華東里,"1","1",,,,"512289",3|2,亞東紀念醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",3|2,亞東紀念醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",4|2,亞東紀念醫院
新北市,板橋區,廣福里,"1","1","1","1",,"254254",4|2,亞東紀念醫院
新北市,板橋區,和平里,"1","1","1","1",,"71663",4|2,亞東紀念醫院
新北市,板橋區,五權里,"1","1","1","1",,"140119",4|2,亞東紀念醫院
新北市,板橋區,重慶里,"1","1",,"1",,"241079",4|2,亞東紀念醫院
新北市,板橋區,大豐里,"1","1",,"1",,"95220",4|2,亞東紀念醫院
新北市,板橋區,福星里,"1","1",,"1",,"133363",4|2,亞東紀念醫院
新北市,板橋區,華福里,"1","1",,"1",,"40764",4|2,亞東紀念醫院
新北市,板橋區,新興里,"1","1",,"1",,"92051",4|2,亞東紀念醫院
新北市,板橋區,鄉雲里,"1","1",,"1",,"216314",4|2,亞東紀念醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",4|2,亞東紀念醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",4|3|2,亞東紀念醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",4|3|2,亞東紀念醫院
新北市,板橋區,廣福里,"1","1","1","1",,"254254",4|3|2,亞東紀念醫院
新北市,板橋區,和平里,"1","1","1","1",,"71663",4|3|2,亞東紀念醫院
新北市,板橋區,華德里,"1","1","1",,,"268132",4|3|2,亞東紀念醫院
新北市,板橋區,五權里,"1","1","1","1",,"140119",4|3|2,亞東紀念醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",4|3|2,亞東紀念醫院
新北市,板橋區,信義里,"1","1","1",,,"86660",4|3|2,亞東紀念醫院
新北市,板橋區,重慶里,"1","1",,"1",,"241079",4|3|2,亞東紀念醫院
新北市,板橋區,仁愛里,"1","1",,"1",,"88494",4|3|2,亞東紀念醫院
新北市,板橋區,大豐里,"1","1",,"1",,"95220",4|3|2,亞東紀念醫院
新北市,板橋區,中山里,"1","1",,,,"413419",4|3|2,亞東紀念醫院
新北市,板橋區,華貴里,"1","1",,"1",,"70582",4|3|2,亞東紀念醫院
新北市,板橋區,華東里,"1","1",,,,"512289",4|3|2,亞東紀念醫院
新北市,板橋區,福星里,"1","1",,"1",,"133363",4|3|2,亞東紀念醫院
新北市,板橋區,華興里,"1","1",,"1",,"68506",4|3|2,亞東紀念醫院
新北市,板橋區,華福里,"1","1",,"1",,"40764",4|3|2,亞東紀念醫院
新北市,板橋區,新興里,"1","1",,"1",,"92051",4|3|2,亞東紀念醫院
新北市,板橋區,鄉雲里,"1","1",,"1",,"216314",4|3|2,亞東紀念醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",4|3|2,亞東紀念醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",5|2,亞東紀念醫院
新北市,板橋區,新興里,"1","1",,"1",,"92051",5|4|2,亞東紀念醫院
新北市,板橋區,鄉雲里,"1","1",,"1",,"216314",5|4|2,亞東紀念醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",5|4|2,亞東紀念醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",16|5,亞東紀念醫院
新北市,土城區,廣福里,"1","1","1","1","1","102487",21|3,亞東紀念醫院
新北市,土城區,埤林里,"1","1","1","1","1","124964",21|3,亞東紀念醫院
新北市,土城區,學成里,"1","1","1",,,"57713",21|3,亞東紀念醫院
新北市,土城區,廣興里,"1","1","1","1","1","114862",21|3,亞東紀念醫院
新北市,土城區,裕生里,,"1","1",,,"341930",21|3,亞東紀念醫院
新北市,土城區,貨饒里,"1","1","1",,,"217170",21|3,亞東紀念醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",21|3,亞東紀念醫院
新北市,板橋區,華德里,"1","1","1",,,"268132",21|3,亞東紀念醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",21|3,亞東紀念醫院
新北市,板橋區,福安里,"1","1",,"1",,"736217",21|3,亞東紀念醫院
新北市,板橋區,中山里,"1","1",,,,"413419",21|3,亞東紀念醫院
新北市,板橋區,大安里,"1","1",,,,"89227",21|3,亞東紀念醫院
新北市,板橋區,華東里,"1","1",,,,"512289",21|3,亞東紀念醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",21|3|2,亞東紀念醫院
新北市,板橋區,華德里,"1","1","1",,,"268132",21|3|2,亞東紀念醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",21|3|2,亞東紀念醫院
新北市,板橋區,中山里,"1","1",,,,"413419",21|3|2,亞東紀念醫院
新北市,板橋區,華東里,"1","1",,,,"512289",21|3|2,亞東紀念醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",21|4|3|2,亞東紀念醫院
新北市,板橋區,華德里,"1","1","1",,,"268132",21|4|3|2,亞東紀念醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",21|4|3|2,亞東紀念醫院
新北市,板橋區,中山里,"1","1",,,,"413419",21|4|3|2,亞東紀念醫院
新北市,板橋區,華東里,"1","1",,,,"512289",21|4|3|2,亞東紀念醫院
新北市,土城區,裕生里,,"1","1",,,"341930",21|20,亞東紀念醫院
新北市,土城區,青雲里,"1","1","1","1","1","281091",,亞東紀念醫院
新北市,板橋區,復興里,"1","1",,,,"100614",,亞東紀念醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",3|2,板橋中興醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",3|2,板橋中興醫院
新北市,板橋區,廣福里,"1","1","1","1",,"254254",3|2,板橋中興醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",3|2,板橋中興醫院
新北市,板橋區,信義里,"1","1","1",,,"86660",3|2,板橋中興醫院
新北市,板橋區,中山里,"1","1",,,,"413419",3|2,板橋中興醫院
新北市,板橋區,華東里,"1","1",,,,"512289",3|2,板橋中興醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",3|2,板橋中興醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",4|2,板橋中興醫院
新北市,板橋區,廣福里,"1","1","1","1",,"254254",4|2,板橋中興醫院
新北市,板橋區,和平里,"1","1","1","1",,"71663",4|2,板橋中興醫院
新北市,板橋區,五權里,"1","1","1","1",,"140119",4|2,板橋中興醫院
新北市,中和區,壽德里,"1","1","1","1",,"81496",4|2,板橋中興醫院
新北市,中和區,明德里,"1","1",,"1",,"89016",4|2,板橋中興醫院
新北市,板橋區,重慶里,"1","1",,"1",,"241079",4|2,板橋中興醫院
新北市,板橋區,大豐里,"1","1",,"1",,"95220",4|2,板橋中興醫院
新北市,中和區,清穗里,"1","1",,"1",,"141497",4|2,板橋中興醫院
新北市,中和區,自強里,"1","1",,"1",,"159676",4|2,板橋中興醫院
新北市,中和區,國華里,"1","1",,"1",,"41790",4|2,板橋中興醫院
新北市,板橋區,廣德里,"1","1",,"1",,"148194",4|2,板橋中興醫院
新北市,中和區,國光里,"1","1",,"1",,"60688",4|2,板橋中興醫院
新北市,板橋區,福星里,"1","1",,"1",,"133363",4|2,板橋中興醫院
新北市,板橋區,福德里,"1","1",,"1",,"142395",4|2,板橋中興醫院
新北市,板橋區,華福里,"1","1",,"1",,"40764",4|2,板橋中興醫院
新北市,中和區,民生里,"1","1",,,,"57233",4|2,板橋中興醫院
新北市,板橋區,國泰里,"1","1",,"1",,"97260",4|2,板橋中興醫院
新北市,板橋區,後埔里,"1","1",,"1",,"61067",4|2,板橋中興醫院
新北市,板橋區,新興里,"1","1",,"1",,"92051",4|2,板橋中興醫院
新北市,板橋區,福祿里,"1","1",,"1",,"93526",4|2,板橋中興醫院
新北市,板橋區,景星里,"1","1",,"1",,"83614",4|2,板橋中興醫院
新北市,板橋區,民族里,"1","1",,,,"98579",4|2,板橋中興醫院
新北市,板橋區,鄉雲里,"1","1",,"1",,"216314",4|2,板橋中興醫院
新北市,板橋區,流芳里,"1","1",,"1",,"44560",4|2,板橋中興醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",4|2,板橋中興醫院
新北市,板橋區,深丘里,"1","1",,"1",,"343539",4|2,板橋中興醫院
新北市,板橋區,福丘里,"1","1",,"1",,"253104",4|2,板橋中興醫院
新北市,板橋區,浮洲里,"1","1",,"1",,"730705",4|3|2,板橋中興醫院
新北市,土城區,復興里,"1","1","1",,"1","149319",4|3|2,板橋中興醫院
新北市,板橋區,廣福里,"1","1","1","1",,"254254",4|3|2,板橋中興醫院
新北市,板橋區,和平里,"1","1","1","1",,"71663",4|3|2,板橋中興醫院
新北市,板橋區,華德里,"1","1","1",,,"268132",4|3|2,板橋中興醫院
新北市,板橋區,五權里,"1","1","1","1",,"140119",4|3|2,板橋中興醫院
新北市,土城區,瑞興里,"1","1",,,,"64790",4|3|2,板橋中興醫院
新北市,板橋區,信義里,"1","1","1",,,"86660",4|3|2,板橋中興醫院
新北市,板橋區,重慶里,"1","1",,"1",,"241079",4|3|2,板橋中興醫院
新北市,板橋區,仁愛里,"1","1",,"1",,"88494",4|3|2,板橋中興醫院
新北市,板橋區,大豐里,"1","1",,"1",,"95220",4|3|2,板橋中興醫院
新北市,板橋區,中山里,"1","1",,,,"413419",4|3|2,板橋中興醫院
新北市,板橋區,華貴里,"1","1",,"1",,"70582",4|3|2,板橋中興醫院
新北市,板橋區,華東里,"1","1",,,,"512289",4|3|2,板橋中興醫院
新北市,板橋區,福星里,"1","1",,"1",,"133363",4|3|2,板橋中興醫院
新北市,板橋區,華興里,"1","1",,"1",,"68506",4|3|2,板橋中興醫院
新北市,板橋區,華福里,"1","1",,"1",,"40764",4|3|2,板橋中興醫院
新北市,板橋區,新興里,"1","1",,"1",,"92051",4|3|2,板橋中興醫院
新北市,板橋區,鄉雲里,"1","1",,"1",,"216314",4|3|2,板橋中興醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",4|3|2,板橋中興醫院
新北市,板橋區,新民里,"1","1",,"1",,"305458",5|1,板橋中興醫院
新北市,板橋區,留侯里,"1","1",,,,"63631",5|2,板橋中興醫院
新北市,板橋區,湳興里,"1","1",,"1",,"187575",5|2,板橋中興醫院
新北市,板橋區,光華里,"1","1",,"1",,"57618",5|2,板橋中興醫院
新北市,板橋區,黃石里,"1","1",,,,"99855",5|2,板橋中興醫院
新北市,板橋區,挹秀里,"1","1",,"1",,"121189",5|4,板橋中興醫院
新北市,板橋區,深丘里,"1","1",,"1",,"343539",5|4,板橋中興醫院
新北市,板橋區,黃石里,"1","1",,,,"99855",5|4,板橋中興醫院
新北市,板橋區,福丘里,"1","1",,"1",,"253104",5|4,板橋中興醫院
新北市,板橋區,新民里,"1","1",,"1",,"305458",5|4,板橋中興醫院
新北市,板橋區,赤松里,"1","1",,,,"16222",5|4|2,板橋中興醫院
新北市,板橋區,留侯里,"1","1",,,,"63631",5|4|2,板橋中興醫院
新北市,板橋區,新興里,"1","1",,"1",,"92051",5|4|2,板橋中興醫院
